"","year_week","Am. Indian","Asian","Black","Hispanic","NULL","Other","Unknown","White","Other/Unkown","Black_Percent","White_Percent","Hispanic_Percent","Asian_Percent","Other/Unkown_Percen"
"27",2020-09-14,0,1,7,7,0,2,0,23,2,0.175,0.575,0.175,0.025,0.05
"28",2020-09-21,0,2,8,19,0,2,0,10,2,0.195121951219512,0.24390243902439,0.463414634146341,0.0487804878048781,0.0487804878048781
"29",2020-09-28,0,0,8,13,0,4,0,18,4,0.186046511627907,0.418604651162791,0.302325581395349,0,0.0930232558139535
"30",2020-10-05,0,3,12,10,0,1,0,28,1,0.222222222222222,0.518518518518518,0.185185185185185,0.0555555555555556,0.0185185185185185
"31",2020-10-12,0,1,17,15,0,0,0,30,0,0.26984126984127,0.476190476190476,0.238095238095238,0.0158730158730159,0
"32",2020-10-19,0,3,14,17,1,1,0,41,2,0.181818181818182,0.532467532467532,0.220779220779221,0.038961038961039,0.025974025974026
"33",2020-10-26,0,5,20,21,0,4,1,54,5,0.19047619047619,0.514285714285714,0.2,0.0476190476190476,0.0476190476190476
"34",2020-11-02,1,4,30,41,0,4,2,106,7,0.159574468085106,0.563829787234043,0.218085106382979,0.0212765957446809,0.0372340425531915
"35",2020-11-09,0,1,61,59,1,7,0,119,8,0.245967741935484,0.479838709677419,0.237903225806452,0.00403225806451613,0.032258064516129
"36",2020-11-16,0,12,60,85,0,1,1,169,2,0.182926829268293,0.515243902439024,0.259146341463415,0.0365853658536585,0.00609756097560976
"37",2020-11-23,0,9,76,62,0,5,1,180,6,0.228228228228228,0.540540540540541,0.186186186186186,0.027027027027027,0.018018018018018
"38",2020-11-30,0,14,84,105,2,7,3,191,12,0.206896551724138,0.470443349753695,0.258620689655172,0.0344827586206897,0.0295566502463054
"39",2020-12-07,1,16,77,75,1,10,0,176,12,0.216292134831461,0.49438202247191,0.210674157303371,0.0449438202247191,0.0337078651685393
"40",2020-12-14,0,11,71,84,1,10,1,176,12,0.200564971751412,0.497175141242938,0.23728813559322,0.0310734463276836,0.0338983050847458
"41",2020-12-21,0,17,75,60,1,3,3,172,7,0.226586102719033,0.51963746223565,0.181268882175227,0.0513595166163142,0.0211480362537764
"42",2020-12-28,0,18,73,79,1,2,1,159,4,0.219219219219219,0.477477477477477,0.237237237237237,0.0540540540540541,0.012012012012012
"43",2021-01-04,0,16,50,52,1,1,3,115,5,0.210084033613445,0.483193277310924,0.218487394957983,0.0672268907563025,0.0210084033613445
"44",2021-01-11,1,11,48,43,1,2,2,106,6,0.224299065420561,0.495327102803738,0.200934579439252,0.0514018691588785,0.0280373831775701
"45",2021-01-18,0,15,43,50,2,4,3,97,9,0.200934579439252,0.453271028037383,0.233644859813084,0.0700934579439252,0.0420560747663551
"46",2021-01-25,0,6,42,42,0,4,0,66,4,0.2625,0.4125,0.2625,0.0375,0.025
"47",2021-02-01,1,7,29,22,0,4,0,50,5,0.256637168141593,0.442477876106195,0.194690265486726,0.0619469026548673,0.0442477876106195
"48",2021-02-08,0,6,28,32,0,3,0,59,3,0.21875,0.4609375,0.25,0.046875,0.0234375
"49",2021-02-15,0,0,10,12,0,2,0,24,2,0.208333333333333,0.5,0.25,0,0.0416666666666667
